X Y Z
4.504362e+06 7.281433e+05 5.039711e+06
4.505358e+06 7.354746e+05 5.037746e+06
4.506348e+06 7.428050e+05 5.035774e+06
4.507332e+06 7.501344e+05 5.033797e+06
4.508311e+06 7.574629e+05 5.031813e+06
4.509283e+06 7.647904e+05 5.029822e+06
4.510250e+06 7.721169e+05 5.027825e+06
4.511212e+06 7.794425e+05 5.025822e+06
4.512167e+06 7.867670e+05 5.023812e+06
4.513117e+06 7.940906e+05 5.021796e+06
4.514061e+06 8.014131e+05 5.019774e+06
4.514999e+06 8.087346e+05 5.017745e+06
4.515932e+06 8.160551e+05 5.015710e+06
4.516859e+06 8.233746e+05 5.013669e+06
4.517780e+06 8.306930e+05 5.011621e+06
4.518695e+06 8.380104e+05 5.009567e+06
4.519605e+06 8.453267e+05 5.007506e+06
4.520509e+06 8.526419e+05 5.005440e+06
4.521407e+06 8.599560e+05 5.003366e+06
4.522299e+06 8.672690e+05 5.001287e+06
4.523185e+06 8.745810e+05 4.999201e+06
4.524066e+06 8.818918e+05 4.997109e+06
4.524941e+06 8.892015e+05 4.995010e+06
4.525811e+06 8.965101e+05 4.992905e+06
4.526674e+06 9.038175e+05 4.990794e+06
4.527532e+06 9.111238e+05 4.988677e+06
4.528384e+06 9.184289e+05 4.986553e+06
4.529230e+06 9.257329e+05 4.984422e+06
4.530071e+06 9.330356e+05 4.982286e+06
4.530906e+06 9.403372e+05 4.980143e+06
4.531735e+06 9.476376e+05 4.977994e+06
4.532558e+06 9.549368e+05 4.975838e+06
4.533375e+06 9.622348e+05 4.973677e+06
4.534187e+06 9.695315e+05 4.971509e+06
4.534993e+06 9.768271e+05 4.969334e+06
4.535793e+06 9.841213e+05 4.967154e+06
4.536588e+06 9.914144e+05 4.964967e+06
4.537376e+06 9.987061e+05 4.962773e+06
4.538159e+06 1.005997e+06 4.960574e+06
4.538936e+06 1.013286e+06 4.958368e+06
4.539708e+06 1.020574e+06 4.956156e+06
4.540473e+06 1.027860e+06 4.953937e+06
4.541233e+06 1.035146e+06 4.951713e+06
4.541987e+06 1.042430e+06 4.949482e+06
4.542735e+06 1.049712e+06 4.947244e+06
4.543478e+06 1.056994e+06 4.945001e+06
4.544214e+06 1.064274e+06 4.942751e+06
4.544945e+06 1.071552e+06 4.940495e+06
4.545671e+06 1.078830e+06 4.938232e+06
